video_id,author,text,clean_text,source_channel,sentiment_label,sentiment_score,gold_label,gold_notes
OHGnsJYi4tQ,@omahfatma3761,Duhhhh knapa kameranya bgini siiiii....pdhl niat banget mo beli,duhh knapa kameranya bgini sii pdhl niat sangat mo beli,GadgeTin,negative,0.9975531697,negative,
OHGnsJYi4tQ,@Almusa188,Hp indo mahal amat mending nambah dikit dapat asus phone lebih bagus 😂,ponsel indo mahal amat mending nambah dikit dapat asus phone lebih bagus,GadgeTin,negative,0.9985147119,negative,
OHGnsJYi4tQ,@rianopisial8864,Desain belakangnya sih yg bikin rada gmn gitu,desain belakangnya sih yang bikin rada gmn gitu,GadgeTin,negative,0.985368669,negative,
OHGnsJYi4tQ,@satomotion,"Beneran gua skip kecewa nungguin 2 tahun wkwk ,tahun lalu design begini ,tahun ini begini lagi , jadi ambil si dagu tanos wkwk",beneran saya jangan beli kecewa nungguin 2 tahun tertawa tahun lalu design begini tahun ini begini lagi jadi ambil si dagu tanos tertawa,GadgeTin,negative,0.9841954708,negative,
OHGnsJYi4tQ,@bangophienonton,"Mantep sih! Masih pake note 5, eh sekarang udah 15 ajah 😅",mantep sih masih pake note 5 eh sekarang sudah 15 ajah,GadgeTin,negative,0.9990640283,positive,
OHGnsJYi4tQ,@yudipermanakhan,Nnton ini pake redmi Not 13-4g..setahun lebih pemakaian masih fine2 aja. Cuma batre-nya aja udah mulai agak borosss,nnton ini pake redmi not 13 4g setahun lebih pemakaian masih fine2 aja cuma baterai nya aja sudah mulai agak boross,GadgeTin,negative,0.9951682091,neutral,
OHGnsJYi4tQ,@chacaraepunya4295,"pake redmi note 10 pro dari tahun 2018, layarnya udah bergaris sejak kmrin. makanya mulai lihat2 lagi nih, walaupu dananya belum ada",pake redmi note 10 pro dari tahun 2018 layarnya sudah bergaris sejak kmrin makanya mulai lihat2 lagi nih walaupu dananya belum ada,GadgeTin,negative,0.9834756851,neutral,
OHGnsJYi4tQ,@Noval-ilyas,Tp kok kurang suka desain kameranya ya😅,tapi kok kurang suka desain kameranya ya,GadgeTin,negative,0.9991710186,negative,
OHGnsJYi4tQ,@rendk58,"Ternyata terakhir punya note series udah lama banget ya, waktu itu beli note 8 pro harga launchingnya masih 3,2jt 😂",ternyata terakhir punya note series sudah lama sangat ya waktu itu beli note 8 pro harga launchingnya masih 3 2jt,GadgeTin,negative,0.4999389648,neutral,
OHGnsJYi4tQ,@hannafi6628,"Masih bingung 😢
Redmi note 15 pro+ vs Poco F8 Pro 

Saran dong 😂 soalnya kaum mendang mending mau up dari redmi note 8 pro",masih bingung redmi note 15 pro vs poco f8 pro saran dong soalnya kaum mendang mending mau up dari redmi note 8 pro,GadgeTin,negative,0.8725978136,neutral,
OHGnsJYi4tQ,@abcdefg5478,Bagus ga sih redmi nih?,bagus tidak sih redmi nih,GadgeTin,negative,0.9944813251,neutral,
OHGnsJYi4tQ,@pengamatyoutube1029,"Masih setia poco x3nfc layar lumutan tombol +/- rusak, jadi pake talk bantu banget😂😂, bingung mau beli. Hp apa",masih setia poco x3nfc layar lumutan tombol rusak jadi pake talk bantu sangat bingung mau beli ponsel apa,GadgeTin,negative,0.8164972663,neutral,
OHGnsJYi4tQ,@RajaRempong,"Nonton doank, beli kagak 😂",nonton doank beli tidak,GadgeTin,negative,0.9986338019,neutral,
OHGnsJYi4tQ,@andrianto2434,Makin gak suka bentuk kameranya,makin tidak suka bentuk kameranya,GadgeTin,negative,0.9992540479,negative,
OHGnsJYi4tQ,@marifaummuibrohim,Saya pakai Xiaomi Redmi Note 13 5G. Ga enak banget buat zoom dan multi staking. Cepet panaaaaas. Ada ga hp yg bisa multistaking. Series ini apakah recom?,saya pakai xiaomi redmi note 13 5g tidak enak sangat buat zoom dan multi staking cepet panaas ada tidak ponsel yang bisa multistaking series ini apakah recom,GadgeTin,negative,0.9959738851,neutral,
